Gmt time,Open,High,Low,Close,Volume
2021-05-04 10:00:00+05:30,969.6,971.33,968.38,970.55,891544
2021-05-04 10:15:00+05:30,970.3,970.95,968.58,970.88,516198
2021-05-04 10:30:00+05:30,970.68,973.5,970.5,972.6,796776
2021-05-04 10:45:00+05:30,972.6,974.58,971.78,972.45,717552
2021-05-04 11:00:00+05:30,972.5,975.15,972.23,973.08,675270
2021-05-04 11:15:00+05:30,973.1,974.0,968.5,969.03,712516
2021-05-04 11:30:00+05:30,969.33,971.58,968.53,971.35,419538
2021-05-04 11:45:00+05:30,971.35,973.0,970.38,970.78,421294
2021-05-04 12:00:00+05:30,970.75,970.95,967.5,968.8,646970
2021-05-04 12:15:00+05:30,968.8,969.0,967.0,968.23,328702
2021-05-04 12:30:00+05:30,968.23,968.28,965.9,968.1,587936
2021-05-04 12:45:00+05:30,967.75,969.0,967.5,967.75,227962
2021-05-04 13:00:00+05:30,967.75,967.75,963.68,964.33,741644
2021-05-04 13:15:00+05:30,964.08,967.0,963.5,966.88,550854
2021-05-04 13:30:00+05:30,966.85,967.6,965.45,966.35,410428
2021-05-04 13:45:00+05:30,966.35,968.3,966.25,966.8,333120
2021-05-04 14:00:00+05:30,966.8,967.9,964.18,965.65,368632
2021-05-04 14:15:00+05:30,965.65,966.3,964.58,964.93,209546
2021-05-04 14:30:00+05:30,964.93,966.0,958.3,959.45,1225834
2021-05-04 14:45:00+05:30,959.28,960.65,955.5,956.0,919172
2021-05-04 15:00:00+05:30,956.0,958.98,955.95,958.68,1206164
2021-05-04 15:15:00+05:30,958.68,959.95,958.0,958.3,1455688
2021-05-05 09:15:00+05:30,961.68,964.43,957.1,960.58,1693838
2021-05-05 09:30:00+05:30,960.75,967.0,960.75,965.4,977808
2021-05-05 09:45:00+05:30,965.4,965.98,962.25,964.45,404364
2021-05-05 10:00:00+05:30,964.3,965.95,961.93,964.0,443604
2021-05-05 10:15:00+05:30,963.75,966.95,963.75,966.85,373948
2021-05-05 10:30:00+05:30,966.85,969.25,965.0,967.23,512572
2021-05-05 10:45:00+05:30,967.15,968.68,965.88,966.23,448152
2021-05-05 11:00:00+05:30,966.13,966.6,963.08,963.5,253154
2021-05-05 11:15:00+05:30,963.3,964.0,960.03,962.25,430092
2021-05-05 11:30:00+05:30,962.5,963.25,960.53,961.5,195794
2021-05-05 11:45:00+05:30,961.5,962.0,960.13,961.98,185302
2021-05-05 12:00:00+05:30,962.0,963.63,961.0,962.98,230404
2021-05-05 12:15:00+05:30,962.88,963.78,960.85,962.15,233802
2021-05-05 12:30:00+05:30,962.4,962.5,960.0,960.6,228724
2021-05-05 12:45:00+05:30,960.63,962.45,959.58,962.08,423634
2021-05-05 13:00:00+05:30,962.03,964.75,961.85,962.75,428078
2021-05-05 13:15:00+05:30,962.75,964.43,961.5,962.2,191382
2021-05-05 13:30:00+05:30,962.2,962.5,960.35,960.93,177914
2021-05-05 13:45:00+05:30,960.93,961.75,955.75,958.0,585346
2021-05-05 14:00:00+05:30,958.03,959.1,954.03,954.73,634684
2021-05-05 14:15:00+05:30,954.75,957.9,954.7,957.53,485424
2021-05-05 14:30:00+05:30,957.53,958.3,955.55,957.68,262760
2021-05-05 14:45:00+05:30,957.78,959.5,957.63,958.05,277732
2021-05-05 15:00:00+05:30,958.5,960.95,958.05,960.83,561868
2021-05-05 15:15:00+05:30,960.75,961.5,959.55,960.05,792054
2021-05-06 09:15:00+05:30,960.93,961.1,956.0,956.68,1091040
2021-05-06 09:30:00+05:30,957.0,959.88,956.5,959.6,486058
2021-05-06 09:45:00+05:30,959.85,960.4,957.53,957.58,386132
2021-05-06 10:00:00+05:30,957.58,958.25,956.55,957.25,417328
2021-05-06 10:15:00+05:30,957.1,957.95,953.95,955.2,671440
2021-05-06 10:30:00+05:30,955.0,955.48,953.3,954.3,560950
2021-05-06 10:45:00+05:30,954.35,956.5,954.3,955.95,438096
2021-05-06 11:00:00+05:30,956.0,958.5,955.53,957.0,342776
2021-05-06 11:15:00+05:30,957.0,957.5,955.45,956.53,309040
2021-05-06 11:30:00+05:30,956.33,958.1,956.28,957.83,324124
2021-05-06 11:45:00+05:30,959.13,964.98,957.95,963.75,1111416
2021-05-06 12:00:00+05:30,963.98,964.25,961.73,963.63,619128
2021-05-06 12:15:00+05:30,963.5,963.55,960.5,962.13,328168
2021-05-06 12:30:00+05:30,962.18,962.43,959.85,960.4,289890
2021-05-06 12:45:00+05:30,960.2,962.0,959.1,960.83,275998
2021-05-06 13:00:00+05:30,960.83,961.5,959.65,961.28,198942
2021-05-06 13:15:00+05:30,961.48,961.75,958.3,959.75,291722
2021-05-06 13:30:00+05:30,959.75,959.75,957.5,958.63,268250
2021-05-06 13:45:00+05:30,958.5,959.65,957.5,958.33,278822
2021-05-06 14:00:00+05:30,958.4,959.1,956.58,957.05,294118
2021-05-06 14:15:00+05:30,957.25,959.13,956.83,958.0,230764
2021-05-06 14:30:00+05:30,958.0,959.78,957.53,958.73,279716
2021-05-06 14:45:00+05:30,958.73,963.25,958.63,963.0,739922
2021-05-06 15:00:00+05:30,963.05,967.0,963.03,965.2,1750872
2021-05-06 15:15:00+05:30,965.2,967.5,964.68,965.5,1511776
2021-05-07 09:15:00+05:30,968.88,974.9,967.58,974.85,1744602
2021-05-07 09:30:00+05:30,974.75,977.83,973.3,975.78,1039682
2021-05-07 09:45:00+05:30,975.85,976.5,971.48,972.0,567586
2021-05-07 10:00:00+05:30,971.75,974.35,971.63,972.8,302818
2021-05-07 10:15:00+05:30,972.75,973.45,970.53,970.83,371676
2021-05-07 10:30:00+05:30,970.65,973.1,970.08,971.03,264444
2021-05-07 10:45:00+05:30,970.8,970.9,968.88,970.23,354940
2021-05-07 11:00:00+05:30,970.25,972.5,969.25,970.98,218894
2021-05-07 11:15:00+05:30,970.98,972.0,969.58,971.8,199566
2021-05-07 11:30:00+05:30,971.88,971.95,970.05,971.03,217210
2021-05-07 11:45:00+05:30,971.03,971.48,969.15,969.95,204264
2021-05-07 12:00:00+05:30,969.93,970.8,966.23,968.13,434016
2021-05-07 12:15:00+05:30,967.65,969.75,966.68,969.5,315744
2021-05-07 12:30:00+05:30,969.5,970.2,968.93,970.0,274138
2021-05-07 12:45:00+05:30,969.98,970.5,969.0,969.45,218766
2021-05-07 13:00:00+05:30,969.05,969.8,965.65,967.15,333160
2021-05-07 13:15:00+05:30,967.25,969.0,965.78,967.25,312968
